CropType,Region,SoilType,IrrigationMethod,Rainfall,Temperature,Humidity,WaterFootprint
Sugarcane,Bihar,Loamy,Flood,696,23,40,3466
Wheat,Bihar,Loamy,Sprinkler,350,37,77,1301
Rice,Bihar,Sandy,Drip,983,23,66,2065
Wheat,UP,Sandy,Drip,840,23,58,1312
Wheat,UP,Sandy,Sprinkler,554,30,55,1385
Sugarcane,UP,Clayey,Sprinkler,487,25,56,3162
Rice,Bihar,Sandy,Sprinkler,703,34,85,2479
Cotton,Punjab,Loamy,Flood,1050,21,44,1960
Maize,Punjab,Sandy,Sprinkler,534,38,36,1217
Maize,UP,Clayey,Drip,714,34,53,955
Maize,Bihar,Loamy,Sprinkler,1076,33,47,993
Rice,Maharashtra,Loamy,Flood,363,25,61,2681
Sugarcane,Karnataka,Clayey,Flood,239,36,80,3864
Cotton,Punjab,Loamy,Flood,377,19,90,2506
Wheat,Maharashtra,Clayey,Flood,646,36,71,1328
Maize,UP,Clayey,Flood,1003,22,59,1107
Wheat,Bihar,Loamy,Flood,1005,22,38,1213
Maize,Punjab,Sandy,Drip,1138,22,53,928
Sugarcane,Punjab,Sandy,Sprinkler,327,36,37,3904
Maize,Bihar,Sandy,Drip,516,25,72,1141
Wheat,Maharashtra,Clayey,Sprinkler,611,27,79,1097
Rice,Karnataka,Sandy,Drip,415,25,51,2408
Maize,Maharashtra,Sandy,Drip,774,24,74,1187
Maize,Bihar,Clayey,Drip,913,25,34,977
Cotton,UP,Sandy,Flood,924,31,30,2179
Sugarcane,UP,Loamy,Flood,283,22,78,3876
Cotton,Maharashtra,Sandy,Drip,696,26,34,2036
Rice,Maharashtra,Sandy,Drip,406,30,59,2466
Cotton,Karnataka,Sandy,Flood,1132,19,83,2169
Cotton,UP,Loamy,Sprinkler,706,25,86,1891
Cotton,Punjab,Sandy,Sprinkler,324,30,87,2355
Wheat,Karnataka,Clayey,Flood,1130,27,47,1159
Maize,UP,Loamy,Drip,708,19,55,999
Wheat,Punjab,Loamy,Flood,773,36,42,1324
Maize,UP,Sandy,Flood,1069,37,52,1168
Sugarcane,Punjab,Clayey,Drip,812,25,36,2982
Sugarcane,UP,Sandy,Flood,463,31,90,3937
Wheat,Punjab,Loamy,Sprinkler,1142,24,87,987
Maize,Maharashtra,Loamy,Sprinkler,1188,31,66,931
Sugarcane,Punjab,Loamy,Sprinkler,1042,33,69,2895
Cotton,Karnataka,Clayey,Drip,709,27,87,1882
Wheat,Bihar,Sandy,Flood,422,29,33,1524
Rice,Punjab,Loamy,Drip,208,35,61,2400
Maize,Bihar,Loamy,Flood,815,19,53,1198
Wheat,UP,Sandy,Drip,1053,21,46,1084
Rice,Maharashtra,Loamy,Sprinkler,1121,24,68,1997
Maize,Bihar,Clayey,Flood,720,37,76,1287
Maize,Maharashtra,Clayey,Flood,950,28,49,1171
Wheat,Punjab,Sandy,Drip,728,34,88,1309
Cotton,Karnataka,Clayey,Flood,570,25,89,2298
Wheat,Maharashtra,Clayey,Flood,1022,22,59,1219
Sugarcane,Karnataka,Sandy,Flood,1043,29,41,3532
Rice,Bihar,Clayey,Flood,994,26,85,2198
Cotton,Karnataka,Loamy,Sprinkler,655,36,39,2017
Maize,Maharashtra,Clayey,Drip,990,38,67,821
Wheat,Bihar,Sandy,Flood,555,27,83,1369
Cotton,UP,Loamy,Sprinkler,806,32,50,2067
Rice,Maharashtra,Loamy,Sprinkler,216,21,71,2466
Wheat,Punjab,Clayey,Sprinkler,1194,36,33,1129
Maize,Karnataka,Clayey,Flood,767,23,87,1201
Maize,Bihar,Clayey,Sprinkler,558,35,32,1106
Sugarcane,Bihar,Clayey,Drip,546,27,41,2958
Sugarcane,UP,Loamy,Sprinkler,218,24,87,3465
Sugarcane,Maharashtra,Sandy,Drip,915,26,88,2923
Maize,UP,Sandy,Sprinkler,375,21,80,1337
Rice,Maharashtra,Loamy,Drip,1070,28,35,1955
Wheat,UP,Loamy,Drip,671,25,40,1103
Maize,Maharashtra,Loamy,Flood,314,24,85,1355
Wheat,Punjab,Loamy,Drip,934,25,84,910
Cotton,UP,Sandy,Drip,873,36,62,2159
Sugarcane,Maharashtra,Loamy,Sprinkler,979,22,78,2838
Rice,Bihar,Sandy,Sprinkler,995,27,44,2328
Rice,UP,Sandy,Flood,531,20,87,2675
Rice,Maharashtra,Loamy,Sprinkler,1174,27,89,2017
Sugarcane,Karnataka,Clayey,Sprinkler,241,28,43,3473
Maize,UP,Clayey,Drip,270,22,83,1105
Maize,Maharashtra,Clayey,Sprinkler,398,24,49,1288
Wheat,Maharashtra,Loamy,Flood,699,25,42,1238
Sugarcane,Bihar,Clayey,Drip,862,34,83,2984
Cotton,Maharashtra,Loamy,Drip,779,28,69,1780
Sugarcane,Maharashtra,Clayey,Flood,1084,31,88,3245
Wheat,Maharashtra,Loamy,Drip,1082,30,90,986
Sugarcane,UP,Loamy,Sprinkler,821,22,75,3174
Rice,Punjab,Sandy,Flood,543,19,80,2784
Rice,Bihar,Sandy,Sprinkler,684,19,31,2535
Sugarcane,UP,Loamy,Flood,1125,26,90,3141
Cotton,Maharashtra,Sandy,Sprinkler,1091,29,45,1986
Cotton,Maharashtra,Sandy,Drip,435,37,52,2188
Wheat,Punjab,Loamy,Drip,744,30,32,1024
Wheat,Bihar,Clayey,Sprinkler,202,27,85,1382
Maize,Punjab,Clayey,Sprinkler,827,31,86,1075
Sugarcane,Punjab,Clayey,Drip,1036,27,78,2680
Cotton,UP,Loamy,Drip,709,20,90,1817
Wheat,Karnataka,Clayey,Sprinkler,1089,21,47,1026
Cotton,UP,Clayey,Sprinkler,1032,34,73,1738
Cotton,Karnataka,Loamy,Drip,371,35,58,2020
Wheat,Bihar,Clayey,Drip,205,22,31,1278
Cotton,UP,Sandy,Flood,757,29,62,2400
Rice,Maharashtra,Sandy,Sprinkler,1170,19,81,2159
Cotton,Maharashtra,Sandy,Flood,1147,25,42,2253
Sugarcane,Bihar,Sandy,Sprinkler,723,30,76,3507
Maize,UP,Loamy,Drip,1181,38,81,980
Sugarcane,Karnataka,Sandy,Drip,334,29,46,3733
Rice,UP,Sandy,Sprinkler,1106,30,55,2296
Sugarcane,Bihar,Sandy,Drip,376,35,60,3679
Maize,Maharashtra,Loamy,Flood,207,35,64,1398
Maize,Punjab,Loamy,Drip,724,20,45,1004
Wheat,UP,Loamy,Flood,926,19,56,1160
Maize,Karnataka,Clayey,Drip,895,38,66,1006
Wheat,UP,Clayey,Sprinkler,376,33,83,1256
Rice,Karnataka,Clayey,Drip,1108,31,86,1877
Sugarcane,Bihar,Sandy,Sprinkler,1158,29,60,3231
Maize,Punjab,Clayey,Sprinkler,523,20,43,1008
Wheat,Karnataka,Loamy,Sprinkler,459,22,66,1080
Maize,UP,Sandy,Sprinkler,830,24,82,1115
Wheat,Bihar,Sandy,Flood,917,25,40,1258
Sugarcane,UP,Clayey,Flood,584,26,74,3556
Rice,UP,Loamy,Flood,593,31,56,2577
Wheat,Bihar,Clayey,Sprinkler,827,28,89,1210
Sugarcane,UP,Sandy,Flood,744,21,85,3887
Rice,Karnataka,Sandy,Sprinkler,638,21,46,2573
Rice,UP,Sandy,Flood,765,25,84,2657
Sugarcane,Maharashtra,Loamy,Flood,321,18,42,3802
Wheat,Bihar,Clayey,Flood,958,30,30,1124
Maize,Maharashtra,Sandy,Flood,297,38,79,1357
Cotton,Karnataka,Loamy,Sprinkler,905,24,90,1745
Wheat,Punjab,Sandy,Sprinkler,298,21,45,1352
Rice,Karnataka,Clayey,Flood,1078,22,85,2302
Wheat,Maharashtra,Loamy,Drip,672,22,43,1067
Wheat,Bihar,Clayey,Flood,697,26,76,1394
Rice,Bihar,Sandy,Sprinkler,783,38,89,2531
Wheat,Maharashtra,Loamy,Sprinkler,739,32,58,1139
Rice,UP,Clayey,Drip,300,32,31,2376
Sugarcane,Maharashtra,Clayey,Drip,866,18,70,2875
Sugarcane,Maharashtra,Clayey,Flood,749,24,42,3478
Maize,Karnataka,Loamy,Sprinkler,358,20,58,1165
Rice,Karnataka,Sandy,Sprinkler,213,25,68,2714
Cotton,Punjab,Sandy,Sprinkler,234,27,37,2320
Cotton,Bihar,Loamy,Flood,983,29,52,1992
Maize,Maharashtra,Clayey,Drip,883,34,84,1029
Cotton,UP,Loamy,Sprinkler,344,23,48,2110
Wheat,Maharashtra,Sandy,Sprinkler,1141,30,31,1119
Rice,Bihar,Sandy,Drip,780,19,58,2291
Wheat,Maharashtra,Loamy,Drip,580,19,53,1070
Sugarcane,Bihar,Clayey,Flood,1040,33,72,3194
Maize,UP,Loamy,Sprinkler,329,29,33,1112
Sugarcane,Maharashtra,Sandy,Drip,402,21,86,3405
Wheat,Maharashtra,Clayey,Sprinkler,829,23,43,1076
Maize,UP,Sandy,Drip,281,18,82,1337
Maize,Karnataka,Clayey,Flood,1006,24,73,1054
Wheat,Maharashtra,Sandy,Sprinkler,833,38,43,1285
Wheat,UP,Loamy,Flood,453,27,54,1296
Rice,UP,Loamy,Drip,519,25,55,2057
Sugarcane,Karnataka,Loamy,Flood,301,22,55,3914
Wheat,Punjab,Clayey,Sprinkler,875,30,33,1105
Maize,Bihar,Loamy,Drip,735,25,84,1017
Rice,Karnataka,Sandy,Sprinkler,730,24,80,2446
Cotton,Punjab,Loamy,Drip,345,31,58,2003
Rice,Karnataka,Sandy,Flood,556,31,62,2696
Cotton,Maharashtra,Loamy,Sprinkler,373,28,85,2198
Maize,Maharashtra,Clayey,Sprinkler,1142,21,69,945
Wheat,UP,Loamy,Sprinkler,618,27,55,1143
Rice,Karnataka,Clayey,Drip,1094,34,75,1973
Sugarcane,Punjab,Loamy,Sprinkler,276,25,62,3479
Cotton,UP,Sandy,Flood,368,27,47,2558
Wheat,Karnataka,Clayey,Flood,338,22,87,1432
Wheat,Bihar,Sandy,Sprinkler,1041,27,86,1136
Sugarcane,Bihar,Sandy,Sprinkler,332,35,85,3826
Cotton,Punjab,Sandy,Drip,959,25,52,1809
Wheat,Bihar,Sandy,Sprinkler,720,31,42,1387
Maize,Karnataka,Loamy,Drip,999,19,56,807
Maize,Maharashtra,Clayey,Flood,526,36,60,1124
Maize,Punjab,Loamy,Sprinkler,280,38,90,1117
Sugarcane,Bihar,Sandy,Drip,423,27,61,3411
Rice,Bihar,Sandy,Drip,936,37,66,2132
Maize,Bihar,Sandy,Flood,929,18,35,1234
Wheat,Karnataka,Clayey,Drip,718,21,83,1023
Maize,Karnataka,Loamy,Sprinkler,1036,30,72,908
Wheat,Maharashtra,Clayey,Flood,427,24,56,1342
Wheat,UP,Sandy,Flood,1019,22,49,1234
Rice,Karnataka,Sandy,Drip,645,36,57,2392
Wheat,Karnataka,Clayey,Sprinkler,945,37,32,1055
Sugarcane,UP,Loamy,Flood,987,31,41,3055
Rice,Bihar,Sandy,Drip,885,23,54,2278
Cotton,Karnataka,Clayey,Drip,728,30,50,1800
Cotton,Bihar,Clayey,Drip,727,37,66,1880
Wheat,Bihar,Sandy,Flood,487,38,52,1476
Sugarcane,Bihar,Loamy,Drip,633,36,56,2926
Rice,UP,Loamy,Drip,562,25,38,2162
Sugarcane,Maharashtra,Clayey,Drip,243,34,57,3359
Rice,Bihar,Loamy,Drip,381,29,54,2329
Maize,Punjab,Loamy,Flood,768,26,49,1197
Sugarcane,Bihar,Loamy,Sprinkler,560,19,46,3172
Sugarcane,Bihar,Sandy,Drip,351,22,80,3679
Rice,Karnataka,Clayey,Drip,910,25,83,1946
Wheat,Karnataka,Sandy,Sprinkler,365,20,89,1461
Wheat,UP,Clayey,Sprinkler,546,27,68,1216
Maize,Bihar,Clayey,Flood,245,24,60,1288
Maize,Bihar,Sandy,Flood,320,28,58,1360
Maize,Karnataka,Loamy,Flood,994,26,47,1083
Rice,Karnataka,Clayey,Drip,288,25,42,2432
Rice,Karnataka,Sandy,Flood,276,29,79,2928
Rice,Karnataka,Sandy,Sprinkler,416,34,75,2506
Maize,Maharashtra,Sandy,Flood,652,24,31,1272
Sugarcane,Maharashtra,Clayey,Sprinkler,373,35,55,3407
Maize,UP,Sandy,Flood,978,37,80,1209
Rice,Bihar,Sandy,Drip,1050,32,51,2105
Sugarcane,Karnataka,Loamy,Drip,1177,36,64,2615
Maize,UP,Sandy,Flood,382,26,45,1398
Sugarcane,Bihar,Clayey,Flood,637,27,44,3475
Cotton,Karnataka,Clayey,Flood,440,38,61,2264
Maize,Bihar,Clayey,Flood,929,31,76,1077
Rice,Maharashtra,Loamy,Sprinkler,807,19,50,2245
Wheat,Punjab,Loamy,Flood,567,38,90,1338
Cotton,Maharashtra,Loamy,Drip,910,34,47,1672
Sugarcane,UP,Clayey,Drip,1187,26,32,2625
Rice,Bihar,Clayey,Sprinkler,391,34,68,2531
Maize,UP,Sandy,Flood,336,18,35,1386
Sugarcane,Maharashtra,Clayey,Sprinkler,595,21,84,3120
Wheat,Punjab,Clayey,Drip,468,31,62,1196
Cotton,Karnataka,Loamy,Drip,873,38,87,1838
Maize,Maharashtra,Sandy,Drip,999,33,61,1081
Maize,UP,Sandy,Drip,369,22,54,1332
Rice,Karnataka,Sandy,Drip,1068,36,84,2025
Cotton,Karnataka,Clayey,Drip,920,37,49,1659
Wheat,Bihar,Clayey,Sprinkler,930,36,72,1084
Sugarcane,Punjab,Clayey,Sprinkler,1149,31,47,2721
Wheat,Maharashtra,Clayey,Drip,796,35,57,1112
Sugarcane,Karnataka,Loamy,Sprinkler,873,38,65,3130
Rice,Punjab,Sandy,Drip,771,20,84,2401
Maize,Karnataka,Clayey,Drip,349,28,50,1042
Rice,Punjab,Sandy,Drip,384,27,65,2526
Maize,Punjab,Sandy,Flood,495,31,60,1314
Cotton,Karnataka,Clayey,Drip,1199,34,60,1747
Sugarcane,Bihar,Clayey,Sprinkler,314,37,49,3544
Sugarcane,Punjab,Sandy,Flood,730,30,89,3890
Rice,Karnataka,Clayey,Drip,226,37,66,2295
Rice,Maharashtra,Clayey,Flood,402,18,90,2583
Wheat,Maharashtra,Clayey,Sprinkler,943,23,71,1134
Wheat,Bihar,Loamy,Sprinkler,739,31,58,1242
Sugarcane,Punjab,Loamy,Flood,874,33,44,3496
Sugarcane,Punjab,Sandy,Sprinkler,862,22,77,3555
Maize,Karnataka,Sandy,Flood,441,21,59,1399
Maize,UP,Sandy,Drip,883,36,47,1129
Rice,Maharashtra,Sandy,Drip,907,29,30,2141
Wheat,Punjab,Loamy,Drip,547,34,65,1009
Sugarcane,Karnataka,Sandy,Sprinkler,1100,34,85,3092
Sugarcane,Karnataka,Clayey,Drip,451,29,59,2941
Cotton,UP,Sandy,Drip,718,29,31,2013
Maize,UP,Clayey,Drip,846,33,79,1068
Wheat,Bihar,Sandy,Drip,909,23,41,1144
Sugarcane,Punjab,Loamy,Flood,498,22,42,3569
Sugarcane,UP,Clayey,Sprinkler,1040,19,69,2752
Sugarcane,Maharashtra,Loamy,Drip,482,32,76,2881
Maize,Punjab,Loamy,Drip,365,34,55,1214
Wheat,Punjab,Clayey,Flood,793,23,71,1289
Sugarcane,Punjab,Sandy,Drip,845,31,69,3271
Maize,Maharashtra,Sandy,Sprinkler,405,38,81,1143
Maize,Punjab,Sandy,Drip,785,25,63,1192
Maize,Karnataka,Clayey,Sprinkler,604,38,84,1020
Wheat,Maharashtra,Loamy,Flood,1068,24,48,1200
Sugarcane,Maharashtra,Sandy,Flood,719,37,56,3811
Cotton,Karnataka,Sandy,Sprinkler,345,29,55,2497
Cotton,Karnataka,Clayey,Drip,447,29,70,1804
Cotton,Maharashtra,Clayey,Drip,251,26,37,2145
Sugarcane,Maharashtra,Loamy,Sprinkler,915,30,62,2825
Rice,Bihar,Clayey,Drip,888,22,60,2095
Sugarcane,Punjab,Sandy,Drip,219,20,57,3591
Cotton,Maharashtra,Clayey,Flood,649,34,34,2205
Rice,Bihar,Sandy,Sprinkler,490,25,62,2530
Maize,Karnataka,Sandy,Flood,278,27,69,1391
Cotton,Punjab,Clayey,Flood,383,22,59,2388
Cotton,Karnataka,Loamy,Sprinkler,639,19,40,2069
Wheat,Bihar,Loamy,Sprinkler,573,21,85,1114
Sugarcane,Punjab,Loamy,Flood,1060,18,38,3156
Cotton,UP,Sandy,Drip,543,19,53,2008
Wheat,UP,Loamy,Flood,576,22,79,1268
Wheat,Maharashtra,Clayey,Drip,1130,35,90,887
Sugarcane,Karnataka,Loamy,Sprinkler,996,34,69,2730
Rice,Maharashtra,Sandy,Drip,243,22,34,2609
Cotton,Maharashtra,Clayey,Sprinkler,580,32,69,2073
Rice,Karnataka,Loamy,Sprinkler,620,32,88,2316
Wheat,UP,Loamy,Drip,445,35,36,1081
Wheat,Karnataka,Clayey,Flood,754,21,31,1374
Sugarcane,Punjab,Clayey,Sprinkler,742,37,87,3215
Sugarcane,UP,Sandy,Flood,752,30,77,3934
Maize,UP,Clayey,Sprinkler,487,31,65,1041
Sugarcane,Karnataka,Loamy,Flood,900,25,70,3467
Rice,Punjab,Sandy,Flood,787,27,57,2840
Maize,Maharashtra,Sandy,Sprinkler,1111,23,90,1150
Cotton,Karnataka,Sandy,Flood,266,23,74,2725
Sugarcane,UP,Clayey,Drip,395,23,34,3284
Cotton,Punjab,Sandy,Flood,627,32,43,2430
Cotton,Punjab,Clayey,Drip,862,26,34,1927
Maize,Maharashtra,Loamy,Flood,455,23,88,1175
Sugarcane,Karnataka,Loamy,Sprinkler,962,30,79,2886
Sugarcane,Punjab,Sandy,Sprinkler,546,34,45,3485
Cotton,Punjab,Loamy,Flood,973,29,31,1956
Rice,Punjab,Sandy,Sprinkler,1028,34,79,2241
Maize,Punjab,Clayey,Drip,969,37,53,839
Maize,Maharashtra,Clayey,Sprinkler,1185,27,87,1055
Cotton,Bihar,Loamy,Sprinkler,311,22,60,2174
Maize,Punjab,Clayey,Drip,842,32,78,1039
Maize,Maharashtra,Loamy,Flood,665,35,39,1286
Maize,Punjab,Loamy,Sprinkler,201,30,84,1209
Maize,Karnataka,Clayey,Sprinkler,277,21,47,1183
Sugarcane,Karnataka,Sandy,Sprinkler,337,35,54,3808
Cotton,UP,Clayey,Flood,507,27,33,2272
Wheat,Karnataka,Clayey,Sprinkler,431,21,71,1249
Maize,Punjab,Clayey,Flood,410,19,70,1191
Cotton,Karnataka,Sandy,Sprinkler,1113,30,62,1983
Cotton,UP,Sandy,Flood,509,27,83,2478
Maize,Bihar,Loamy,Drip,854,23,62,1003
Cotton,Maharashtra,Loamy,Flood,857,25,34,2174
Rice,UP,Sandy,Drip,252,22,59,2695
Maize,Karnataka,Sandy,Drip,848,37,42,1075
Rice,Karnataka,Clayey,Sprinkler,1114,21,55,2080
Rice,UP,Loamy,Sprinkler,1144,31,78,2011
Maize,Bihar,Sandy,Sprinkler,283,20,55,1240
Sugarcane,Karnataka,Sandy,Sprinkler,517,26,58,3498
Rice,Punjab,Sandy,Sprinkler,1013,19,81,2242
Sugarcane,Karnataka,Loamy,Drip,459,33,68,3041
Cotton,UP,Loamy,Sprinkler,1124,28,32,1814
Maize,UP,Loamy,Sprinkler,855,27,61,1043
Wheat,Maharashtra,Clayey,Flood,377,38,44,1342
Wheat,Karnataka,Clayey,Flood,775,31,64,1237
Wheat,Punjab,Sandy,Drip,1147,37,54,1136
Cotton,UP,Sandy,Flood,586,21,41,2327
Sugarcane,UP,Clayey,Drip,952,31,40,2714
Cotton,UP,Sandy,Drip,686,29,81,2168
Cotton,Bihar,Sandy,Sprinkler,532,30,61,2218
Cotton,Bihar,Clayey,Flood,1109,33,76,2059
Wheat,Karnataka,Clayey,Drip,482,29,50,1163
